animal_project_reference,datacenter_reference,animal_reference_id,vernacularname,animal_origin,stock,length,length_type,weight,life_stage,age,sex
SSST,OTN-Global,SSST-1194459,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-32558,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-32522,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-32560,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-1194464,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-34080,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-2013-22,sevengill shark,W,UNKNOWN,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-1168537,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-1200778,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-1200776,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-1200775,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-34097,sevengill shark,W,UNKNOWN,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-34095,sevengill shark,W,UNKNOWN,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-34094,sevengill shark,W,UNKNOWN,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-340802,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-1200779,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-34087,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-34085,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-34096,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-34086,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-34084,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-34083,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-34079,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-1042222,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-32555,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-1194466,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-32556,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-340801,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-34070,sevengill shark,W,UNKNOWN,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-1200777,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-34076,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-34077,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
SSST,OTN-Global,SSST-34078,sevengill shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1217442,Zambezi shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1217443,Zambezi shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1217445,Zambezi shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1217444,Zambezi shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1217441,Zambezi shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-2015-26,Zambezi shark,W,UNKNOWN,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-2015-27,Zambezi shark,W,UNKNOWN,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-2015-28,Zambezi shark,W,UNKNOWN,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-2015-29,Zambezi shark,W,UNKNOWN,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-2015-30,Zambezi shark,W,UNKNOWN,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-5-14,Zambezi shark,W,UNKNOWN,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-4-14,Zambezi shark,W,UNKNOWN,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1131560,Zambezi shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1131557,Zambezi shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1131558,Zambezi shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1131556,Zambezi shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1131559,Zambezi shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1128772,Zambezi shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1128771,Zambezi shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1128773,Zambezi shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1130603,Zambezi shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1130604,Zambezi shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1130601,Zambezi shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1130602,Zambezi shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1130606,Zambezi shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1130605,Zambezi shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1123206,Zambezi shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1123205,Zambezi shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1123204,Zambezi shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1217449,tiger shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1217450,tiger shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1217447,tiger shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1217446,tiger shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1217448,tiger shark,W,UNK,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-2015-23,tiger shark,W,UNKNOWN,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-2015-24,tiger shark,W,UNKNOWN,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-2015-25,tiger shark,W,UNKNOWN,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-0-14,tiger shark,W,UNKNOWN,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-1-14,tiger shark,W,UNKNOWN,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-2-14,tiger shark,W,UNKNOWN,NULL,UNK,NULL,UNK,NULL,U
POZS,OTN-Global,POZS-3-14,tiger shark,W,UNKNOWN,NULL,UNK,NULL,UNK,NULL,U
CCS,nep,CCS-42471,Chinook salmon,H,CHILKO,0.12,FORK,0.01901,JUVENILE,1,U
CCS,nep,CCS-42470,Chinook salmon,H,CHILKO,0.123,FORK,0.02295,JUVENILE,1,U
CCS,nep,CCS-42469,Chinook salmon,H,CHILKO,0.107,FORK,0.0145,JUVENILE,1,U
CCS,nep,CCS-42468,Chinook salmon,H,CHILKO,0.115,FORK,0.01801,JUVENILE,1,U
CCS,nep,CCS-42467,Chinook salmon,H,CHILKO,0.106,FORK,0.01368,JUVENILE,1,U
CCS,nep,CCS-42466,Chinook salmon,H,CHILKO,0.111,FORK,0.01477,JUVENILE,1,U
CCS,nep,CCS-42465,Chinook salmon,H,CHILKO,0.108,FORK,0.01436,JUVENILE,1,U
CCS,nep,CCS-42464,Chinook salmon,H,CHILKO,0.108,FORK,0.01456,JUVENILE,1,U
CCS,nep,CCS-42463,Chinook salmon,H,CHILKO,0.107,FORK,0.01482,JUVENILE,1,U
CCS,nep,CCS-42462,Chinook salmon,H,CHILKO,0.105,FORK,0.0128,JUVENILE,1,U
CCS,nep,CCS-42461,Chinook salmon,H,CHILKO,0.112,FORK,0.01651,JUVENILE,1,U
CCS,nep,CCS-42460,Chinook salmon,H,CHILKO,0.121,FORK,0.02239,JUVENILE,1,U
CCS,nep,CCS-42459,Chinook salmon,H,CHILKO,0.107,FORK,0.01447,JUVENILE,1,U
CCS,nep,CCS-42458,Chinook salmon,H,CHILKO,0.123,FORK,0.02206,JUVENILE,1,U
CCS,nep,CCS-42457,Chinook salmon,H,CHILKO,0.105,FORK,0.01403,JUVENILE,1,U
CCS,nep,CCS-42456,Chinook salmon,H,CHILKO,0.113,FORK,0.01698,JUVENILE,1,U
CCS,nep,CCS-42455,Chinook salmon,H,CHILKO,0.113,FORK,0.01465,JUVENILE,1,U
CCS,nep,CCS-42454,Chinook salmon,H,CHILKO,0.111,FORK,0.01538,JUVENILE,1,U
CCS,nep,CCS-42453,Chinook salmon,H,CHILKO,0.119,FORK,0.02047,JUVENILE,1,U
CCS,nep,CCS-42444,Chinook salmon,H,CHILKO,0.109,FORK,NULL,JUVENILE,1,U
CCS,nep,CCS-42443,Chinook salmon,H,CHILKO,0.112,FORK,0.01665,JUVENILE,1,U
CCS,nep,CCS-42442,Chinook salmon,H,CHILKO,0.119,FORK,0.01823,JUVENILE,1,U
CCS,nep,CCS-42441,Chinook salmon,H,CHILKO,0.107,FORK,0.01215,JUVENILE,1,U
CCS,nep,CCS-42440,Chinook salmon,H,CHILKO,0.119,FORK,0.01912,JUVENILE,1,U
CCS,nep,CCS-42439,Chinook salmon,H,CHILKO,0.111,FORK,0.01454,JUVENILE,1,U
CCS,nep,CCS-42438,Chinook salmon,H,CHILKO,0.108,FORK,0.01264,JUVENILE,1,U
CCS,nep,CCS-42437,Chinook salmon,H,CHILKO,0.108,FORK,0.01225,JUVENILE,1,U
CCS,nep,CCS-42436,Chinook salmon,H,CHILKO,0.111,FORK,0.01521,JUVENILE,1,U
CCS,nep,CCS-42435,Chinook salmon,H,CHILKO,0.111,FORK,0.0148,JUVENILE,1,U
CCS,nep,CCS-42434,Chinook salmon,H,CHILKO,0.113,FORK,0.01637,JUVENILE,1,U
CCS,nep,CCS-42433,Chinook salmon,H,CHILKO,0.12,FORK,0.01903,JUVENILE,1,U
CCS,nep,CCS-42432,Chinook salmon,H,CHILKO,0.114,FORK,0.01707,JUVENILE,1,U
CCS,nep,CCS-42431,Chinook salmon,H,CHILKO,0.111,FORK,0.01454,JUVENILE,1,U
CCS,nep,CCS-42430,Chinook salmon,H,CHILKO,0.111,FORK,0.017,JUVENILE,1,U
CCS,nep,CCS-42429,Chinook salmon,H,CHILKO,0.111,FORK,0.01808,JUVENILE,1,U
CCS,nep,CCS-42428,Chinook salmon,H,CHILKO,0.111,FORK,0.0159,JUVENILE,1,U
CCS,nep,CCS-42427,Chinook salmon,H,CHILKO,0.121,FORK,0.02104,JUVENILE,1,U
CCS,nep,CCS-42426,Chinook salmon,H,CHILKO,0.114,FORK,0.01843,JUVENILE,1,U
CCS,nep,CCS-42425,Chinook salmon,H,CHILKO,0.108,FORK,0.01547,JUVENILE,1,U
CCS,nep,CCS-42424,Chinook salmon,H,CHILKO,0.118,FORK,0.0218,JUVENILE,1,U
CCS,nep,CCS-42423,Chinook salmon,H,CHILKO,0.111,FORK,0.01467,JUVENILE,1,U
CCS,nep,CCS-42422,Chinook salmon,H,CHILKO,0.105,FORK,0.0142,JUVENILE,1,U
CCS,nep,CCS-42421,Chinook salmon,H,CHILKO,0.109,FORK,0.01226,JUVENILE,1,U
CCS,nep,CCS-42420,Chinook salmon,H,CHILKO,0.111,FORK,0.01495,JUVENILE,1,U
CCS,nep,CCS-42419,Chinook salmon,H,CHILKO,0.114,FORK,0.01551,JUVENILE,1,U
CCS,nep,CCS-42418,Chinook salmon,H,CHILKO,0.104,FORK,0.01264,JUVENILE,1,U
CCS,nep,CCS-42417,Chinook salmon,H,CHILKO,0.11,FORK,0.01489,JUVENILE,1,U
CCS,nep,CCS-42416,Chinook salmon,H,CHILKO,0.107,FORK,0.01321,JUVENILE,1,U
CCS,nep,CCS-42415,Chinook salmon,H,CHILKO,0.111,FORK,0.01612,JUVENILE,1,U
CCS,nep,CCS-42414,Chinook salmon,H,CHILKO,0.107,FORK,0.01238,JUVENILE,1,U
CCS,nep,CCS-42413,Chinook salmon,H,CHILKO,0.112,FORK,0.0164,JUVENILE,1,U
CCS,nep,CCS-42412,Chinook salmon,H,CHILKO,0.104,FORK,0.01225,JUVENILE,1,U
CCS,nep,CCS-42485,Chinook salmon,H,CHILKO,0.106,FORK,0.014,JUVENILE,1,U
CCS,nep,CCS-42411,Chinook salmon,H,CHILKO,0.11,FORK,NULL,JUVENILE,1,U
CCS,nep,CCS-42410,Chinook salmon,H,CHILKO,0.115,FORK,0.01797,JUVENILE,1,U
CCS,nep,CCS-42409,Chinook salmon,H,CHILKO,0.121,FORK,0.02009,JUVENILE,1,U
CCS,nep,CCS-42408,Chinook salmon,H,CHILKO,0.114,FORK,0.01805,JUVENILE,1,U
CCS,nep,CCS-42407,Chinook salmon,H,CHILKO,0.148,FORK,0.01985,JUVENILE,1,U
CCS,nep,CCS-42406,Chinook salmon,H,CHILKO,0.104,FORK,0.01267,JUVENILE,1,U
CCS,nep,CCS-42405,Chinook salmon,H,CHILKO,NULL,FORK,0.0161,JUVENILE,1,U
CCS,nep,CCS-42404,Chinook salmon,H,CHILKO,0.106,FORK,0.0138,JUVENILE,1,U
CCS,nep,CCS-42403,Chinook salmon,H,CHILKO,0.114,FORK,0.01924,JUVENILE,1,U
CCS,nep,CCS-42402,Chinook salmon,H,CHILKO,0.115,FORK,0.01802,JUVENILE,1,U
CCS,nep,CCS-42401,Chinook salmon,H,CHILKO,0.112,FORK,0.01552,JUVENILE,1,U
CCS,nep,CCS-42400,Chinook salmon,H,CHILKO,0.12,FORK,0.01935,JUVENILE,1,U
CCS,nep,CCS-42399,Chinook salmon,H,CHILKO,0.105,FORK,0.01305,JUVENILE,1,U
CCS,nep,CCS-42398,Chinook salmon,H,CHILKO,0.116,FORK,0.01909,JUVENILE,1,U
CCS,nep,CCS-42397,Chinook salmon,H,CHILKO,0.106,FORK,0.01277,JUVENILE,1,U
CCS,nep,CCS-42396,Chinook salmon,H,CHILKO,0.118,FORK,0.01845,JUVENILE,1,U
CCS,nep,CCS-42395,Chinook salmon,H,CHILKO,0.107,FORK,0.01363,JUVENILE,1,U
CCS,nep,CCS-42394,Chinook salmon,H,CHILKO,0.113,FORK,0.01806,JUVENILE,1,U
CCS,nep,CCS-42393,Chinook salmon,H,CHILKO,0.123,FORK,0.01905,JUVENILE,1,U
CCS,nep,CCS-42392,Chinook salmon,H,CHILKO,0.105,FORK,0.01248,JUVENILE,1,U
CCS,nep,CCS-42491,Chinook salmon,H,CHILKO,0.111,FORK,0.01395,JUVENILE,1,U
CCS,nep,CCS-42490,Chinook salmon,H,CHILKO,0.113,FORK,0.0189,JUVENILE,1,U
CCS,nep,CCS-42489,Chinook salmon,H,CHILKO,0.111,FORK,0.0149,JUVENILE,1,U
CCS,nep,CCS-42484,Chinook salmon,H,CHILKO,0.107,FORK,0.01383,JUVENILE,1,U
CCS,nep,CCS-42483,Chinook salmon,H,CHILKO,0.112,FORK,0.01524,JUVENILE,1,U
CCS,nep,CCS-42482,Chinook salmon,H,CHILKO,0.11,FORK,0.0135,JUVENILE,1,U
CCS,nep,CCS-42481,Chinook salmon,H,CHILKO,0.111,FORK,0.016,JUVENILE,1,U
CCS,nep,CCS-42480,Chinook salmon,H,CHILKO,0.124,FORK,0.0234,JUVENILE,1,U
CCS,nep,CCS-42479,Chinook salmon,H,CHILKO,0.121,FORK,0.01733,JUVENILE,1,U
CCS,nep,CCS-42478,Chinook salmon,H,CHILKO,0.114,FORK,0.01753,JUVENILE,1,U
CCS,nep,CCS-42477,Chinook salmon,H,CHILKO,0.111,FORK,0.0179,JUVENILE,1,U
CCS,nep,CCS-42488,Chinook salmon,H,CHILKO,0.11,FORK,0.01496,JUVENILE,1,U
CCS,nep,CCS-42487,Chinook salmon,H,CHILKO,0.114,FORK,0.0191,JUVENILE,1,U
CCS,nep,CCS-42486,Chinook salmon,H,CHILKO,0.114,FORK,0.01628,JUVENILE,1,U
CCS,nep,CCS-42452,Chinook salmon,H,CHILKO,0.111,FORK,0.01482,JUVENILE,1,U
CCS,nep,CCS-42451,Chinook salmon,H,CHILKO,0.118,FORK,0.01863,JUVENILE,1,U
CCS,nep,CCS-42450,Chinook salmon,H,CHILKO,0.109,FORK,0.01494,JUVENILE,1,U
CCS,nep,CCS-42449,Chinook salmon,H,CHILKO,0.105,FORK,0.01265,JUVENILE,1,U
CCS,nep,CCS-42448,Chinook salmon,H,CHILKO,0.113,FORK,0.01677,JUVENILE,1,U
CCS,nep,CCS-42447,Chinook salmon,H,CHILKO,0.111,FORK,0.01543,JUVENILE,1,U
CCS,nep,CCS-42446,Chinook salmon,H,CHILKO,0.118,FORK,0.01795,JUVENILE,1,U
CCS,nep,CCS-42445,Chinook salmon,H,CHILKO,0.108,FORK,0.01338,JUVENILE,1,U
CCS,nep,CCS-42476,Chinook salmon,H,CHILKO,0.108,FORK,0.01313,JUVENILE,1,U
CCS,nep,CCS-42475,Chinook salmon,H,CHILKO,0.109,FORK,0.01428,JUVENILE,1,U
CCS,nep,CCS-42474,Chinook salmon,H,CHILKO,0.107,FORK,0.01401,JUVENILE,1,U
CCS,nep,CCS-42473,Chinook salmon,H,CHILKO,0.107,FORK,0.01274,JUVENILE,1,U
CCS,nep,CCS-42472,Chinook salmon,H,CHILKO,0.117,FORK,0.01777,JUVENILE,1,U
CCSALMON,nep,CCSALMON-1274647-2017-09-12,Chinook salmon,W,UNKNOWN,0.21,FORK,NULL,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274646-2017-09-12,Chinook salmon,W,UNKNOWN,0.166,FORK,NULL,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274645-2017-09-12,Chinook salmon,W,UNKNOWN,0.166,FORK,NULL,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274716-2017-09-15,Chinook salmon,W,UNKNOWN,0.179,FORK,0.0647,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274715-2017-09-15,Chinook salmon,W,UNKNOWN,0.184,FORK,0.076,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274714-2017-09-15,Chinook salmon,W,UNKNOWN,0.159,FORK,0.0422,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274713-2017-09-15,Chinook salmon,W,UNKNOWN,0.174,FORK,0.0663,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274712-2017-09-15,Chinook salmon,W,UNKNOWN,0.156,FORK,0.0439,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274644-2017-09-12,Chinook salmon,W,UNKNOWN,0.15,FORK,NULL,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274643-2017-09-12,Chinook salmon,W,UNKNOWN,0.158,FORK,NULL,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274642-2017-09-12,Chinook salmon,W,UNKNOWN,0.195,FORK,NULL,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274720-2017-09-15,Chinook salmon,W,UNKNOWN,0.151,FORK,0.037,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274719-2017-09-15,Chinook salmon,H,UNKNOWN,0.186,FORK,0.0746,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274721-2017-09-15,Chinook salmon,W,UNKNOWN,0.21,FORK,0.0845,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274717-2017-09-15,Chinook salmon,H,UNKNOWN,0.201,FORK,0.083,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274711-2017-09-15,Chinook salmon,W,UNKNOWN,0.156,FORK,0.0408,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274710-2017-09-15,Chinook salmon,W,UNKNOWN,0.163,FORK,0.0481,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274709-2017-09-15,Chinook salmon,W,UNKNOWN,0.204,FORK,0.0944,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274708-2017-09-15,Chinook salmon,H,UNKNOWN,0.209,FORK,0.0973,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274700-2017-09-15,Chinook salmon,W,UNKNOWN,0.165,FORK,0.0501,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274699-2017-09-14,Chinook salmon,H,UNKNOWN,0.166,FORK,0.048,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274698-2017-09-14,Chinook salmon,W,UNKNOWN,0.158,FORK,0.0435,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274697-2017-09-14,Chinook salmon,H,UNKNOWN,0.238,FORK,0.1014,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274696-2017-09-14,Chinook salmon,W,UNKNOWN,0.206,FORK,0.0911,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274695-2017-09-14,Chinook salmon,H,UNKNOWN,0.221,FORK,0.101,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274694-2017-09-14,Chinook salmon,W,UNKNOWN,0.171,FORK,0.0583,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274693-2017-09-14,Chinook salmon,H,UNKNOWN,0.187,FORK,0.0765,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274692-2017-09-14,Chinook salmon,W,UNKNOWN,0.177,FORK,0.0633,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274691-2017-09-14,Chinook salmon,W,UNKNOWN,0.153,FORK,0.0347,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274690-2017-09-14,Chinook salmon,W,UNKNOWN,0.156,FORK,0.0427,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274689-2017-09-14,Chinook salmon,W,UNKNOWN,0.161,FORK,0.0455,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274688-2017-09-14,Chinook salmon,H,UNKNOWN,0.218,FORK,0.1033,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274687-2017-09-14,Chinook salmon,W,UNKNOWN,0.168,FORK,0.0547,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274686-2017-09-14,Chinook salmon,W,UNKNOWN,0.178,FORK,0.0671,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274685-2017-09-14,Chinook salmon,W,UNKNOWN,0.162,FORK,0.0467,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274684-2017-09-14,Chinook salmon,W,UNKNOWN,0.151,FORK,0.0368,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274683-2017-09-14,Chinook salmon,W,UNKNOWN,0.184,FORK,0.0802,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274682-2017-09-14,Chinook salmon,W,UNKNOWN,0.171,FORK,NULL,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274681-2017-09-14,Chinook salmon,H,UNKNOWN,0.151,FORK,NULL,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274680-2017-09-14,Chinook salmon,W,UNKNOWN,0.171,FORK,NULL,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274679-2017-09-14,Chinook salmon,W,UNKNOWN,0.151,FORK,NULL,JUVENILE,NULL,U
CCSALMON,nep,CCSALMON-1274678-2017-09-13,Chinook salmon,W,UNKNOWN,0.157,FORK,NULL,JUVENILE,NULL,U
