deployment_id,receiver_serial_number,receiver_reference_type,receiver_reference_id,receiver_manufacturer,receiver_model
ASF-CHBAY-25-VR2-5011-2007,5011,ManmadePlatform,ASF_ASF-CHBAY-25,VEMCO,VR2
ASF-CHBAY-26-VR2-5012-2007,5012,ManmadePlatform,ASF_ASF-CHBAY-26,VEMCO,VR2
ASF-CHBAY-27-VR2-5013-2007,5013,ManmadePlatform,ASF_ASF-CHBAY-27,VEMCO,VR2
ASF-CHBAY-28-VR2-5016-2007,5016,ManmadePlatform,ASF_ASF-CHBAY-28,VEMCO,VR2
ASF-CHBAY-29-VR2-5021-2007,5021,ManmadePlatform,ASF_ASF-CHBAY-29,VEMCO,VR2
ASF-CHBAY-2-VR2-4288-2007,4288,ManmadePlatform,ASF_ASF-CHBAY-2,VEMCO,VR2
ASF-CHBAY-3-VR2-4290-2007,4290,ManmadePlatform,ASF_ASF-CHBAY-3,VEMCO,VR2
ASF-CHBAY-4-VR2-4291-2007,4291,ManmadePlatform,ASF_ASF-CHBAY-4,VEMCO,VR2
ASF-CHBAY-5-VR2-4292-2007,4292,ManmadePlatform,ASF_ASF-CHBAY-5,VEMCO,VR2
ASF-CHBAY-6-VR2-4293-2007,4293,ManmadePlatform,ASF_ASF-CHBAY-6,VEMCO,VR2
ASF-CHBAY-7-VR2-5017-2007,5017,ManmadePlatform,ASF_ASF-CHBAY-7,VEMCO,VR2
ASF-CHBAY-9-VR2-4300-2007,4300,ManmadePlatform,ASF_ASF-CHBAY-9,VEMCO,VR2
ASF-Deforest-2010-VR2-2610-2010,2610,ManmadePlatform,ASF_ASF-Deforest-2010,VEMCO,VR2
ASF-DOUGLASTOWN 2-VR2-1112-2009,1112,ManmadePlatform,ASF_ASF-DOUGLASTOWN 2,VEMCO,VR2
JDF018-VR2-4169-293,4169,ManmadePlatform,JDF_JDF018,VEMCO,VR2
ASF-Down's Gulch-VR2-3353-2005,3353,ManmadePlatform,ASF_ASF-Down's Gulch,VEMCO,VR2
ASF-DoylesBr-VR2-3611-2005,3611,ManmadePlatform,ASF_ASF-DoylesBr,VEMCO,VR2
ASF-East end of Beaubear Island-Chatham Side-VR2-1618-2007,1618,ManmadePlatform,ASF_ASF-East end of Beaubear Island-Chatham Side,VEMCO,VR2
ASF-East end of Beaubear Island-Strawberry Marsh-VR2-1178-2006,1178,ManmadePlatform,ASF_ASF-East end of Beaubear Island-Strawberry Marsh,VEMCO,VR2
ASF-East end of Beaubear Island-Strawberry Marsh-VR2-1574-2007,1574,ManmadePlatform,ASF_ASF-East end of Beaubear Island-Strawberry Marsh,VEMCO,VR2
ASF-East Line E-VR2-2595-2009,2595,ManmadePlatform,ASF_ASF-East Line E,VEMCO,VR2
ASF-East Line F-VR2-1076-2009,1076,ManmadePlatform,ASF_ASF-East Line F,VEMCO,VR2
ASF-East Line G-VR2-2884-2009,2884,ManmadePlatform,ASF_ASF-East Line G,VEMCO,VR2
ASF-East Line H-VR2-2610-2009,2610,ManmadePlatform,ASF_ASF-East Line H,VEMCO,VR2
ASF-Eel Ground-VR2-1177-2009,1177,ManmadePlatform,ASF_ASF-Eel Ground,VEMCO,VR2
ASF-Eel Ground-VR2-1572-2006,1572,ManmadePlatform,ASF_ASF-Eel Ground,VEMCO,VR2
ASF-Estuary-2009-VR2-2581-2009,2581,ManmadePlatform,ASF_ASF-Estuary-2009,VEMCO,VR2
ASF-Estuary center-VR2-3355-2009,3355,ManmadePlatform,ASF_ASF-Estuary center,VEMCO,VR2
ASF-Estuary-VR2-3350-2007,3350,ManmadePlatform,ASF_ASF-Estuary,VEMCO,VR2
ASF-Guards Camp 1-VR2-3347-2007,3347,ManmadePlatform,ASF_ASF-Guards Camp 1,VEMCO,VR2
ASF-Guards Camp 1-VR2-3351-2008,3351,ManmadePlatform,ASF_ASF-Guards Camp 1,VEMCO,VR2
ASF-Guards Camp 1-VR2-3351-2009,3351,ManmadePlatform,ASF_ASF-Guards Camp 1,VEMCO,VR2
ASF-Guards Camp 1-VR2W-109394-2010,109394,ManmadePlatform,ASF_ASF-Guards Camp 1,VEMCO,VR2W
ASF-Gulf A-VR2W-109399-2010,109399,ManmadePlatform,ASF_ASF-Gulf A,VEMCO,VR2W
ASF-Gulf B-VR2W-109518-2010,109518,ManmadePlatform,ASF_ASF-Gulf B,VEMCO,VR2W
ASF-Gulf C-VR2-3337-2010,3337,ManmadePlatform,ASF_ASF-Gulf C,VEMCO,VR2
ASF-Gulf D-VR2W-109403-2010,109403,ManmadePlatform,ASF_ASF-Gulf D,VEMCO,VR2W
ASF-Gulf E-VR2W-106195-2010,106195,ManmadePlatform,ASF_ASF-Gulf E,VEMCO,VR2W
ASF-Gulf F-VR2W-109525-2010,109525,ManmadePlatform,ASF_ASF-Gulf F,VEMCO,VR2W
ASF-Gulf G-VR2W-109527-2010,109527,ManmadePlatform,ASF_ASF-Gulf G,VEMCO,VR2W
ASF-Gulf H-VR2W-105853-2010,105853,ManmadePlatform,ASF_ASF-Gulf H,VEMCO,VR2W
ASF-Gulf I-VR2W-100701-2010,100701,ManmadePlatform,ASF_ASF-Gulf I,VEMCO,VR2W
ASF-Gulf J-VR2W-104568-2010,104568,ManmadePlatform,ASF_ASF-Gulf J,VEMCO,VR2W
ASF-Gulf K-VR2W-109395-2010,109395,ManmadePlatform,ASF_ASF-Gulf K,VEMCO,VR2W
ASF-Gulf L-VR2W-109402-2010,109402,ManmadePlatform,ASF_ASF-Gulf L,VEMCO,VR2W
ASF-Gulf M-VR2W-109397-2010,109397,ManmadePlatform,ASF_ASF-Gulf M,VEMCO,VR2W
ASF-Gulf N-VR2W-109396-2010,109396,ManmadePlatform,ASF_ASF-Gulf N,VEMCO,VR2W
ASF-Gulf O-VR2W-109401-2010,109401,ManmadePlatform,ASF_ASF-Gulf O,VEMCO,VR2W
ASF-Head of Tide 1-VR2-2582-2006,2582,ManmadePlatform,ASF_ASF-Head of Tide 1,VEMCO,VR2
ASF-Head of Tide 1-VR2-2594-2005,2594,ManmadePlatform,ASF_ASF-Head of Tide 1,VEMCO,VR2
ASF-Head of Tide 2-VR2-2587-2006,2587,ManmadePlatform,ASF_ASF-Head of Tide 2,VEMCO,VR2
ASF-Head of Tide 2-VR2-2595-2005,2595,ManmadePlatform,ASF_ASF-Head of Tide 2,VEMCO,VR2
ASF-Head of Tide 2-VR2-3331-2007,3331,ManmadePlatform,ASF_ASF-Head of Tide 2,VEMCO,VR2
ASF-Head of Tide 3-VR2-2357-2007,2357,ManmadePlatform,ASF_ASF-Head of Tide 3,VEMCO,VR2
ASF-Head of Tide 3-VR2-2596-2005,2596,ManmadePlatform,ASF_ASF-Head of Tide 3,VEMCO,VR2
ASF-Head of Tide 4-VR2-2597-2005,2597,ManmadePlatform,ASF_ASF-Head of Tide 4,VEMCO,VR2
ASF-Head of Tide 5-VR2-2598-2005,2598,ManmadePlatform,ASF_ASF-Head of Tide 5,VEMCO,VR2
ASF-HG1-VR2-4297-2005,4297,ManmadePlatform,ASF_ASF-HG1,VEMCO,VR2
ASF-HG2-VR2-4298-2005,4298,ManmadePlatform,ASF_ASF-HG2,VEMCO,VR2
ASF-Neguac 2 2006-VR2-1921-2006,1921,ManmadePlatform,ASF_ASF-Neguac 2 2006,VEMCO,VR2
ASF-HOME POOL RUNNYMEDE-VR2-3341-2005,3341,ManmadePlatform,ASF_ASF-HOME POOL RUNNYMEDE,VEMCO,VR2
ASF-Huckleberry Gully 1-VR2-2360-2006,2360,ManmadePlatform,ASF_ASF-Huckleberry Gully 1,VEMCO,VR2
ASF-Huckleberry Gully 1-VR2-2606-2007,2606,ManmadePlatform,ASF_ASF-Huckleberry Gully 1,VEMCO,VR2
ASF-Huckleberry Gully 1-VR2-2606-2009,2606,ManmadePlatform,ASF_ASF-Huckleberry Gully 1,VEMCO,VR2
ASF-Huckleberry Gully 1-VR2-2607-2007,2607,ManmadePlatform,ASF_ASF-Huckleberry Gully 1,VEMCO,VR2
ASF-Huckleberry Gully 2-VR2-2581-2006,2581,ManmadePlatform,ASF_ASF-Huckleberry Gully 2,VEMCO,VR2
ASF-Huckleberry Gully 2-VR2-2607-2009,2607,ManmadePlatform,ASF_ASF-Huckleberry Gully 2,VEMCO,VR2
ASF-Huckleberry Gully 2-VR2-2607-2010,2607,ManmadePlatform,ASF_ASF-Huckleberry Gully 2,VEMCO,VR2
ASF-Inner Arc 1-2009-VR2-1014-2009,1014,ManmadePlatform,ASF_ASF-Inner Arc 1-2009,VEMCO,VR2
ASF-Inner Arc 1-2010-VR2W-105524-2010,105524,ManmadePlatform,ASF_ASF-Inner Arc 1-2010,VEMCO,VR2W
ASF-Inner Arc 2-2009-VR2-1018-2009,1018,ManmadePlatform,ASF_ASF-Inner Arc 2-2009,VEMCO,VR2
ASF-Inner Arc 2-2010-VR2W-106313-2010,106313,ManmadePlatform,ASF_ASF-Inner Arc 2-2010,VEMCO,VR2W
ASF-Inner Arc 3-2009-VR2-1091-2009,1091,ManmadePlatform,ASF_ASF-Inner Arc 3-2009,VEMCO,VR2
ASF-Inner Arc 3-2010-VR2-5031-2010,5031,ManmadePlatform,ASF_ASF-Inner Arc 3-2010,VEMCO,VR2
ASF-Inner Arc 4-2009-VR2-1077-2009,1077,ManmadePlatform,ASF_ASF-Inner Arc 4-2009,VEMCO,VR2
ASF-Inner Arc 4-2010-VR2-5027-2010,5027,ManmadePlatform,ASF_ASF-Inner Arc 4-2010,VEMCO,VR2
ASF-Inner Arc 5-2009-VR2-1013-2009,1013,ManmadePlatform,ASF_ASF-Inner Arc 5-2009,VEMCO,VR2
ASF-INSHORE OF BAY DU VIN ISLAND-VR2-2585-2009,2585,ManmadePlatform,ASF_ASF-INSHORE OF BAY DU VIN ISLAND,VEMCO,VR2
ASF-Jimmies Hole-VR2-1117-2007,1117,ManmadePlatform,ASF_ASF-Jimmies Hole,VEMCO,VR2
ASF-Jimmies Hole-VR2-2602-2006,2602,ManmadePlatform,ASF_ASF-Jimmies Hole,VEMCO,VR2
ASF-Kymenne-VR2-2602-2005,2602,ManmadePlatform,ASF_ASF-Kymenne,VEMCO,VR2
ASF-Lac castor-VR2-2273-2009,2273,ManmadePlatform,ASF_ASF-Lac castor,VEMCO,VR2
ASF-Lac castor-VR2-5034-2010,5034,ManmadePlatform,ASF_ASF-Lac castor,VEMCO,VR2
ASF-Landslide-VR2-2359-2009,2359,ManmadePlatform,ASF_ASF-Landslide,VEMCO,VR2
ASF-Landslide-VR2-5035-2010,5035,ManmadePlatform,ASF_ASF-Landslide,VEMCO,VR2
ASF-Larrys Gulch 1-VR2-2600-2006,2600,ManmadePlatform,ASF_ASF-Larrys Gulch 1,VEMCO,VR2
ASF-Larrys Gulch 1-VR2-3349-2005,3349,ManmadePlatform,ASF_ASF-Larrys Gulch 1,VEMCO,VR2
ASF-Larrys Gulch 2-VR2-3352-2005,3352,ManmadePlatform,ASF_ASF-Larrys Gulch 2,VEMCO,VR2
ASF-LOWER BB ISLAND 1-VR2-1574-2009,1574,ManmadePlatform,ASF_ASF-LOWER BB ISLAND 1,VEMCO,VR2
ASF-LOWER BB ISLAND 2-VR2-1618-2009,1618,ManmadePlatform,ASF_ASF-LOWER BB ISLAND 2,VEMCO,VR2
ASF-LSW1-VR2-2610-2005,2610,ManmadePlatform,ASF_ASF-LSW1,VEMCO,VR2
ASF-LSW-VR2-1565-2006,1565,ManmadePlatform,ASF_ASF-LSW,VEMCO,VR2
ASF-MATAPEDIA-HAYLEY'S POOL-VR2-2607-2006,2607,ManmadePlatform,ASF_ASF-MATAPEDIA-HAYLEY'S POOL,VEMCO,VR2
ASF-Matapedia-VR2-3359-2005,3359,ManmadePlatform,ASF_ASF-Matapedia,VEMCO,VR2
ASF-Meo-VR2-3347-2008,3347,ManmadePlatform,ASF_ASF-Meo,VEMCO,VR2
ASF-Meo-VR2-3347-2009,3347,ManmadePlatform,ASF_ASF-Meo,VEMCO,VR2
ASF-Meo-VR2-3347-2010,3347,ManmadePlatform,ASF_ASF-Meo,VEMCO,VR2
ASF-MIDDLE ISLAND 2 2009-VR2-1125-2009,1125,ManmadePlatform,ASF_ASF-MIDDLE ISLAND 2 2009,VEMCO,VR2
ASF-Mill1-VR2-2608-2005,2608,ManmadePlatform,ASF_ASF-Mill1,VEMCO,VR2
ASF-Mill2-VR2-2609-2005,2609,ManmadePlatform,ASF_ASF-Mill2,VEMCO,VR2
ASF-Millerton 1 2009-VR2-1119-2009,1119,ManmadePlatform,ASF_ASF-Millerton 1 2009,VEMCO,VR2
ASF-Millerton 1-VR2-1119-2007,1119,ManmadePlatform,ASF_ASF-Millerton 1,VEMCO,VR2
ASF-Millerton 1-VR2-1139-2006,1139,ManmadePlatform,ASF_ASF-Millerton 1,VEMCO,VR2
ASF-Millerton 2 2006-VR2-1166-2006,1166,ManmadePlatform,ASF_ASF-Millerton 2 2006,VEMCO,VR2
ASF-Millerton 2-VR2-1123-2009,1123,ManmadePlatform,ASF_ASF-Millerton 2,VEMCO,VR2
ASF-Millerton Trapnet-VR2-1123-2007,1123,ManmadePlatform,ASF_ASF-Millerton Trapnet,VEMCO,VR2
ASF-Million Dollar Pool-VR2-2599-2006,2599,ManmadePlatform,ASF_ASF-Million Dollar Pool,VEMCO,VR2
ASF-Million Dollar Pool-VR2-3346-2005,3346,ManmadePlatform,ASF_ASF-Million Dollar Pool,VEMCO,VR2
ASF-Million Dollar Pool-VR2-4296-2006,4296,ManmadePlatform,ASF_ASF-Million Dollar Pool,VEMCO,VR2
ASF-MILLSTREAM 1-VR2-1166-2009,1166,ManmadePlatform,ASF_ASF-MILLSTREAM 1,VEMCO,VR2
ASF-Millstream 2-VR2-1135-2006,1135,ManmadePlatform,ASF_ASF-Millstream 2,VEMCO,VR2
ASF-MILLSTREAM 2/Whitneyville-VR2-1172-2009,1172,ManmadePlatform,ASF_ASF-MILLSTREAM 2/Whitneyville,VEMCO,VR2
ASF-MILLSTREAM 2/Whitneyville-VR2-1571-2006,1571,ManmadePlatform,ASF_ASF-MILLSTREAM 2/Whitneyville,VEMCO,VR2
ASF-MILLSTREAM 3/Hackets Beach-VR2-1097-2009,1097,ManmadePlatform,ASF_ASF-MILLSTREAM 3/Hackets Beach,VEMCO,VR2
ASF-Miramichi Hayesville-VR2-1564-2006,1564,ManmadePlatform,ASF_ASF-Miramichi Hayesville,VEMCO,VR2
ASF-NEAR DOYLES BROOK-VR2-1149-2009,1149,ManmadePlatform,ASF_ASF-NEAR DOYLES BROOK,VEMCO,VR2
ASF-NEAR QUARRYVILLE HoT SW-VR2-1116-2009,1116,ManmadePlatform,ASF_ASF-NEAR QUARRYVILLE HoT SW,VEMCO,VR2
ASF-Neguac 1 2006-VR2-1917-2006,1917,ManmadePlatform,ASF_ASF-Neguac 1 2006,VEMCO,VR2
ASF-Neguac 2-VR2-2584-2009,2584,ManmadePlatform,ASF_ASF-Neguac 2,VEMCO,VR2
ASF-Neguac 2-VR2-2585-2010,2585,ManmadePlatform,ASF_ASF-Neguac 2,VEMCO,VR2
ASF-Neguac 3 2006-VR2-1573-2006,1573,ManmadePlatform,ASF_ASF-Neguac 3 2006,VEMCO,VR2
ASF-Neguac 3-VR2-2583-2009,2583,ManmadePlatform,ASF_ASF-Neguac 3,VEMCO,VR2
ASF-Neguac 3-VR2-2583-2010,2583,ManmadePlatform,ASF_ASF-Neguac 3,VEMCO,VR2
ASF-NORDIN 1 Downstream of Newcastle-VR2-1105-2009,1105,ManmadePlatform,ASF_ASF-NORDIN 1 Downstream of Newcastle,VEMCO,VR2
ASF-NORDIN 2 Downstream of Newcastle-VR2-1106-2009,1106,ManmadePlatform,ASF_ASF-NORDIN 2 Downstream of Newcastle,VEMCO,VR2
ASF-NORTH SHORE OF BAY-VR2-1228-2009,1228,ManmadePlatform,ASF_ASF-NORTH SHORE OF BAY,VEMCO,VR2
ASF-Northwest Miramichi 1-VR2-1166-2007,1166,ManmadePlatform,ASF_ASF-Northwest Miramichi 1,VEMCO,VR2
ASF-Northwest Miramichi 2-VR2-1177-2007,1177,ManmadePlatform,ASF_ASF-Northwest Miramichi 2,VEMCO,VR2
ASF-Northwest Miramichi 3-VR2-1172-2007,1172,ManmadePlatform,ASF_ASF-Northwest Miramichi 3,VEMCO,VR2
ASF-Outer Arc 10-2009-VR2-3352-2009,3352,ManmadePlatform,ASF_ASF-Outer Arc 10-2009,VEMCO,VR2
ASF-Outer Arc 11-2009-VR2-1009-2009,1009,ManmadePlatform,ASF_ASF-Outer Arc 11-2009,VEMCO,VR2
ASF-Outer Arc 12-2009-VR2-2587-2009,2587,ManmadePlatform,ASF_ASF-Outer Arc 12-2009,VEMCO,VR2
ASF-Outer Arc 5-2010-VR2W-103139-2010,103139,ManmadePlatform,ASF_ASF-Outer Arc 5-2010,VEMCO,VR2W
ASF-Outer Arc 6-2009-VR2-1178-2009,1178,ManmadePlatform,ASF_ASF-Outer Arc 6-2009,VEMCO,VR2
ASF-Outer Arc 6-2010-VR2W-104379-2010,104379,ManmadePlatform,ASF_ASF-Outer Arc 6-2010,VEMCO,VR2W
ASF-Outer Arc 7-2009-VR2-1075-2009,1075,ManmadePlatform,ASF_ASF-Outer Arc 7-2009,VEMCO,VR2
ASF-Outer Arc 7-2010-VR2-4304-2010,4304,ManmadePlatform,ASF_ASF-Outer Arc 7-2010,VEMCO,VR2
ASF-Outer Arc 8-2009-VR2-1026-2009,1026,ManmadePlatform,ASF_ASF-Outer Arc 8-2009,VEMCO,VR2
ASF-Outer Arc 8-2010-VR2W-104326-2010,104326,ManmadePlatform,ASF_ASF-Outer Arc 8-2010,VEMCO,VR2W
ASF-Outer Arc 9-2009-VR2-1086-2009,1086,ManmadePlatform,ASF_ASF-Outer Arc 9-2009,VEMCO,VR2
ASF-Outer Arc 9-2010-VR2-5032-2010,5032,ManmadePlatform,ASF_ASF-Outer Arc 9-2010,VEMCO,VR2
ASF-OUTSIDE OF BAY DU VIN ISLAND-VR2-2582-2009,2582,ManmadePlatform,ASF_ASF-OUTSIDE OF BAY DU VIN ISLAND,VEMCO,VR2
ASF-OXBOW-VR2-1125-2007,1125,ManmadePlatform,ASF_ASF-OXBOW,VEMCO,VR2
ASF-PG1-VR2-4287-2005,4287,ManmadePlatform,ASF_ASF-PG1,VEMCO,VR2
ASF-PG2-VR2-4288-2005,4288,ManmadePlatform,ASF_ASF-PG2,VEMCO,VR2
ASF-PG3-VR2-4289-2005,4289,ManmadePlatform,ASF_ASF-PG3,VEMCO,VR2
ASF-PG4-VR2-4290-2005,4290,ManmadePlatform,ASF_ASF-PG4,VEMCO,VR2
ASF-PI1-VR2-4291-2005,4291,ManmadePlatform,ASF_ASF-PI1,VEMCO,VR2
ASF-PI2-VR2-4292-2005,4292,ManmadePlatform,ASF_ASF-PI2,VEMCO,VR2
ASF-PI3-VR2-4293-2005,4293,ManmadePlatform,ASF_ASF-PI3,VEMCO,VR2
ASF-PI4-VR2-4294-2005,4294,ManmadePlatform,ASF_ASF-PI4,VEMCO,VR2
ASF-PI5-VR2-4295-2005,4295,ManmadePlatform,ASF_ASF-PI5,VEMCO,VR2
ASF-PI6-VR2-4296-2005,4296,ManmadePlatform,ASF_ASF-PI6,VEMCO,VR2
ASF-Point du Jour Camp-VR2-1128-2007,1128,ManmadePlatform,ASF_ASF-Point du Jour Camp,VEMCO,VR2
ASF-Point du Jour Camp-VR2-2598-2006,2598,ManmadePlatform,ASF_ASF-Point du Jour Camp,VEMCO,VR2
ASF-Point du Jour Camp-VR2-3350-2005,3350,ManmadePlatform,ASF_ASF-Point du Jour Camp,VEMCO,VR2
ASF-Ponds Resort- Bridge 1-VR2-1116-2007,1116,ManmadePlatform,ASF_ASF-Ponds Resort- Bridge 1,VEMCO,VR2
ASF-Ponds Resort- Bridge 2-VR2-1118-2007,1118,ManmadePlatform,ASF_ASF-Ponds Resort- Bridge 2,VEMCO,VR2
ASF-Portage Gully 1-VR2-2582-2007,2582,ManmadePlatform,ASF_ASF-Portage Gully 1,VEMCO,VR2
ASF-Portage Gully 2-VR2-2595-2007,2595,ManmadePlatform,ASF_ASF-Portage Gully 2,VEMCO,VR2
ASF-Portage Is 2-VR2-2598-2009,2598,ManmadePlatform,ASF_ASF-Portage Is 2,VEMCO,VR2
ASF-Portage Is 2-VR2-2598-2010,2598,ManmadePlatform,ASF_ASF-Portage Is 2,VEMCO,VR2
ASF-Portage Is 3-VR2-2599-2009,2599,ManmadePlatform,ASF_ASF-Portage Is 3,VEMCO,VR2
ASF-Portage Is 3-VR2-2599-2010,2599,ManmadePlatform,ASF_ASF-Portage Is 3,VEMCO,VR2
ASF-Portage Is 4-VR2-2600-2009,2600,ManmadePlatform,ASF_ASF-Portage Is 4,VEMCO,VR2
ASF-Portage Is 4-VR2-2600-2010,2600,ManmadePlatform,ASF_ASF-Portage Is 4,VEMCO,VR2
ASF-Portage Is 5-VR2-2605-2009,2605,ManmadePlatform,ASF_ASF-Portage Is 5,VEMCO,VR2
ASF-Portage Is 5-VR2-2605-2010,2605,ManmadePlatform,ASF_ASF-Portage Is 5,VEMCO,VR2
ASF-Portage Is 6 MB-VR2-2603-2010,2603,ManmadePlatform,ASF_ASF-Portage Is 6 MB,VEMCO,VR2
ASF-Portage Is 6-VR2-2603-2009,2603,ManmadePlatform,ASF_ASF-Portage Is 6,VEMCO,VR2
ASF-Portage Island 1-VR2-2267-2006,2267,ManmadePlatform,ASF_ASF-Portage Island 1,VEMCO,VR2
ASF-Portage Island 1-VR2-2596-2007,2596,ManmadePlatform,ASF_ASF-Portage Island 1,VEMCO,VR2
ASF-Portage Island 1-VR2-2596-2009,2596,ManmadePlatform,ASF_ASF-Portage Island 1,VEMCO,VR2
ASF-Portage Island 2-VR2-2268-2006,2268,ManmadePlatform,ASF_ASF-Portage Island 2,VEMCO,VR2
ASF-Portage Island 2-VR2-2598-2007,2598,ManmadePlatform,ASF_ASF-Portage Island 2,VEMCO,VR2
ASF-Portage Island 3-VR2-2272-2006,2272,ManmadePlatform,ASF_ASF-Portage Island 3,VEMCO,VR2
ASF-Portage Island 3-VR2-2599-2007,2599,ManmadePlatform,ASF_ASF-Portage Island 3,VEMCO,VR2
ASF-Portage Island 4-VR2-2273-2006,2273,ManmadePlatform,ASF_ASF-Portage Island 4,VEMCO,VR2
ASF-Portage Island 4-VR2-2600-2007,2600,ManmadePlatform,ASF_ASF-Portage Island 4,VEMCO,VR2
ASF-Portage Island 5-VR2-2358-2006,2358,ManmadePlatform,ASF_ASF-Portage Island 5,VEMCO,VR2
ASF-Portage Island 5-VR2-2602-2007,2602,ManmadePlatform,ASF_ASF-Portage Island 5,VEMCO,VR2
ASF-Portage Island 6-VR2-2359-2006,2359,ManmadePlatform,ASF_ASF-Portage Island 6,VEMCO,VR2
ASF-Portage Island 6-VR2-2603-2007,2603,ManmadePlatform,ASF_ASF-Portage Island 6,VEMCO,VR2
ASF-Portage-VR2-1144-2007,1144,ManmadePlatform,ASF_ASF-Portage,VEMCO,VR2
ASF-Portage-VR2-1144-2008,1144,ManmadePlatform,ASF_ASF-Portage,VEMCO,VR2
ASF-Portage-VR2-2595-2007,2595,ManmadePlatform,ASF_ASF-Portage,VEMCO,VR2
ASF-Portage-VR2-3350-2009,3350,ManmadePlatform,ASF_ASF-Portage,VEMCO,VR2
ASF-Portage-VR2-3356-2009,3356,ManmadePlatform,ASF_ASF-Portage,VEMCO,VR2
JDF019-VR2-4151-740,4151,ManmadePlatform,JDF_JDF019,VEMCO,VR2
ASF-Portage-VR2-3611-2007,3611,ManmadePlatform,ASF_ASF-Portage,VEMCO,VR2
ASF-Portage-VR2W-109398-2010,109398,ManmadePlatform,ASF_ASF-Portage,VEMCO,VR2W
